link,breed,mark,number of ratings,number of comments,number of reviews,number of views,breed purpose,comb,broodiness,climate tolerance,egg productivity,egg size,breed size
https://www.backyardchickens.com/reviews/favacauna.11700/,Favacauna,4.0,2,10,2,6771,ornamental,pea,rare,colder better,medium,medium,large
https://www.backyardchickens.com/reviews/faverolles.10841/,Faverolles,4.38,63,61,60,54086,dual purpose,single,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/fayoumis.10887/,Fayoumis,3.5,24,7,22,11401,ornamental,single,rare,warmer better,low,small,large
https://www.backyardchickens.com/reviews/flarry-eyed-gray.11511/,Flarry Eyed Gray,3.8,5,7,4,8107,ornamental,,,colder better,low,medium,
https://www.backyardchickens.com/reviews/freedom-ranger.11710/,Freedom Ranger,4.0,5,7,5,9674,,,,,,,
https://www.backyardchickens.com/reviews/frizzle.10844/,Frizzle,4.39,33,31,33,26831,dual purpose,single,frequent,any,medium,medium,large
https://www.backyardchickens.com/reviews/gallo-giro.11480/,Gallo Giro,5.0,1,1,1,8029,dual purpose,single,frequent,any,medium,medium,large
https://www.backyardchickens.com/reviews/gallo-kelso.11481/,Gallo Kelso,5.0,2,8,2,22806,dual purpose,single,frequent,any,medium,medium,large
https://www.backyardchickens.com/reviews/genetic-hackle.11810/,Genetic Hackle,,,1,,4390,,,,,low,small,
https://www.backyardchickens.com/reviews/giro-gamefowl.11479/,Giro Gamefowl,4.0,1,3,1,5134,,,,,,,
https://www.backyardchickens.com/reviews/gold-star.11385/,Gold Star,4.33,6,17,6,16898,eggs,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/golden-campines.11786/,Golden Campines,3.67,3,,3,3380,eggs,single,poor,any,high,medium,small
https://www.backyardchickens.com/reviews/golden-comet.11779/,Golden Comet,4.5,4,7,3,10099,eggs,single,rare,warmer better,,large,large
https://www.backyardchickens.com/reviews/golden-penciled-hamburg.11613/,Golden Penciled Hamburg,3.4,5,5,5,5233,,,,,,,
https://www.backyardchickens.com/reviews/golden-sex-link.11355/,Golden Sex Link,4.32,79,107,78,149149,eggs,single,average,colder better,high,large,large
https://www.backyardchickens.com/reviews/greek.11844/,Greek,3.5,2,3,2,2819,,,,,,,
https://www.backyardchickens.com/reviews/green-queen.11998/,Green Queen,,,1,,787,eggs,pea,,any,high,large,
https://www.backyardchickens.com/reviews/hamburg.10888/,Hamburg,4.1,31,18,31,20873,ornamental,rose,rare,any,medium,small,large
https://www.backyardchickens.com/reviews/hmong-chickens-qaib-hmoob.11817/,Hmong Chickens ,4.0,1,,1,16850,meat,"['pea', 'single']",frequent,any,low,"['medium', 'small']",large
https://www.backyardchickens.com/reviews/holland.10913/,Holland,4.17,6,12,6,9975,dual purpose,single,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/houdan.10846/,Houdan,4.27,15,12,15,18882,ornamental,v-shaped,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/hy-line-layers.12003/,Hy-line Layers,,,,,199,,single,frequent,,high,medium,small
https://www.backyardchickens.com/reviews/icelandic-or-viking-hen.11339/,Icelandic Or Viking Hen,4.63,16,20,16,23995,dual purpose,single,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/iowa-blue.11475/,Iowa Blue,4.45,11,8,11,11393,dual purpose,single,frequent,any,medium,medium,large
https://www.backyardchickens.com/reviews/ixworth.11493/,Ixworth,4.0,2,3,1,4777,dual purpose,pea,rare,any,high,medium,large
https://www.backyardchickens.com/reviews/japanese.10834/,Japanese,4.26,27,26,27,17780,ornamental,single,average,any,medium,small,small
https://www.backyardchickens.com/reviews/java.10875/,Java,4.25,16,11,16,16095,dual purpose,single,frequent,any,medium,large,large
https://www.backyardchickens.com/reviews/jersey-giant.10825/,Jersey Giant,4.32,79,101,79,97440,dual purpose,single,rare,colder better,medium,large,large
https://www.backyardchickens.com/reviews/ko-shamo.11505/,Ko Shamo,4.0,1,2,1,6368,ornamental,walnut,frequent,any,low,small,small
https://www.backyardchickens.com/reviews/kraienk%C3%B6ppe.11361/,Kraienk̦ppe,5.0,3,1,2,9315,,walnut,average,any,high,large,large
https://www.backyardchickens.com/reviews/la-fleche.10876/,La Fleche,4.0,7,9,7,12863,dual purpose,v-shaped,rare,warmer better,medium,large,large
https://www.backyardchickens.com/reviews/lakenvelder.10872/,Lakenvelder,2.85,26,20,24,28349,eggs,single,rare,any,medium,small,large
https://www.backyardchickens.com/reviews/langshan.10863/,Langshan,4.52,21,11,21,34648,dual purpose,single,frequent,any,medium,large,large
https://www.backyardchickens.com/reviews/lavender-orpington-bantam.11555/,Lavender Orpington Bantam,3.83,6,9,6,9845,eggs,pea,rare,colder better,medium,small,small
https://www.backyardchickens.com/reviews/legbar.11436/,Legbar,4.52,25,62,25,30948,dual purpose,single,rare,,medium,medium,large
https://www.backyardchickens.com/reviews/leghorn.10828/,Leghorn,4.13,187,198,185,89913,eggs,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/leghorn-bantam.10916/,Leghorn - Bantam,3.33,6,,5,11088,ornamental,single,rare,any,medium,small,small
https://www.backyardchickens.com/reviews/lohman-brown.11380/,Lohman Brown,4.17,6,11,6,36735,eggs,single,rare,any,,"['large', 'medium']",large
https://www.backyardchickens.com/reviews/malay.10899/,Malay,4.25,8,48,8,22570,ornamental,,average,warmer better,low,medium,large
https://www.backyardchickens.com/reviews/marans.10824/,Marans,4.12,138,168,132,112711,dual purpose,single,average,colder better,medium,large,large
https://www.backyardchickens.com/reviews/minorca.10853/,Minorca,4.55,11,10,10,25089,eggs,single,rare,warmer better,high,large,large
https://www.backyardchickens.com/reviews/mixing-chickens.11911/,Mixing Chickens,,,2,,1116,,,,,,,
https://www.backyardchickens.com/reviews/modern-game.10827/,Modern Game,4.72,18,24,17,18315,ornamental,single,frequent,warmer better,low,small,small
https://www.backyardchickens.com/reviews/mottled-cochin-bantam.11785/,Mottled Cochin ,4.8,5,1,4,9921,brooding,single,,any,"['medium', 'low']",small,small
https://www.backyardchickens.com/reviews/naked-neck-turken.10861/,Naked Neck-turken,4.56,48,48,46,43419,dual purpose,pea,average,any,low,large,large
https://www.backyardchickens.com/reviews/nankin-bantams.11383/,Nankin Bantams,4.94,16,13,15,13164,dual purpose,single,frequent,any,medium,small,small
https://www.backyardchickens.com/reviews/new-hampshire.10839/,New Hampshire,4.24,67,55,64,51841,dual purpose,single,frequent,any,high,large,large
https://www.backyardchickens.com/reviews/norfolk-grey.11503/,Norfolk Grey,3.75,4,5,4,5680,dual purpose,single,,,medium,large,large
https://www.backyardchickens.com/reviews/northern-california-poulet-bleu.11438/,Northern California Poulet Bleu,4.0,1,1,1,3674,dual purpose,single,,any,,medium,large
https://www.backyardchickens.com/reviews/norwegian-jaerhon.11523/,Norwegian Jaerhon,4.14,7,18,7,25320,eggs,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/o-shamo.11424/,O Shamo,4.0,8,14,7,23437,ornamental,pea,frequent,warmer better,low,medium,large
https://www.backyardchickens.com/reviews/ohiki.11951/,Ohiki,4.0,1,1,,1726,ornamental,"['pea', 'single']",average,,,medium,small
https://www.backyardchickens.com/reviews/olandsk-dwarf.11948/,Olandsk Dwarf,,,,,846,ornamental,single,average,colder better,,small,small
https://www.backyardchickens.com/reviews/old-english-game-bantam.10829/,Old English Game Bantam,4.45,83,97,81,69467,ornamental,single,frequent,any,medium,small,small
https://www.backyardchickens.com/reviews/olive-egger.11356/,Olive Egger,4.3,10,34,9,57831,eggs,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/orpington.10895/,Orpington,4.48,535,704,520,142583,dual purpose,single,frequent,any,medium,large,large
https://www.backyardchickens.com/reviews/partridge-plymouth-rock.11414/,Partridge Plymouth Rock,3.55,22,23,22,28107,dual purpose,single,frequent,colder better,high,large,large
https://www.backyardchickens.com/reviews/pavlovskaja.11604/,Pavlovskaja,4.75,4,7,4,7482,dual purpose,v-shaped,,colder better,medium,medium,large
https://www.backyardchickens.com/reviews/penedesenca.11391/,Penedesenca,4.0,6,6,5,22848,eggs,,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/phoenix.10871/,Phoenix,4.13,24,28,24,29425,ornamental,single,average,warmer better,low,small,large
https://www.backyardchickens.com/reviews/pita-pinta-asturian-painted-hen.11813/,Pita Pinta ,5.0,1,4,,5717,dual purpose,single,,warmer better,,,medium
https://www.backyardchickens.com/reviews/plymouth-rock.10838/,Plymouth Rock,4.47,275,214,269,82998,dual purpose,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/polish.10852/,Polish,4.22,141,171,135,76114,ornamental,v-shaped,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/porcelain-duccle-bantam.11714/,Porcelain D' Uccle Bantam,4.13,8,7,7,20587,ornamental,single,frequent,warmer better,medium,small,small
https://www.backyardchickens.com/reviews/production.10856/,Production,4.15,39,20,39,23375,dual purpose,single,average,warmer better,medium,large,large
https://www.backyardchickens.com/reviews/production-black-ideal.11428/,Production Black ,3.0,2,2,1,8072,eggs,,,,high,,large
https://www.backyardchickens.com/reviews/production-reds.11862/,Production Reds,4.0,4,1,3,4879,eggs,single,,colder better,high,large,large
https://www.backyardchickens.com/reviews/pyncheon.10893/,Pyncheon,4.75,4,7,4,8404,ornamental,single,average,any,low,small,small
https://www.backyardchickens.com/reviews/queen-silvia.11746/,Queen Silvia,4.0,1,,1,6168,,,,,,,
https://www.backyardchickens.com/reviews/red-sex-link.11498/,Red Sex Link,4.04,82,162,82,110319,eggs,single,rare,any,high,large,large
